bioassay_id,extraction_id,processing_id,expedition_id,target_species,assay_date,assay_type,therapeutic_target,cell_line_organism,assay_format,concentration_range_um,positive_control,incubation_time_hours,ic50_value_nm,max_inhibition_percent,hill_coefficient,selectivity_index,cytotoxicity_cc50_um,therapeutic_window,dose_response_quality,assay_reproducibility,statistical_significance,mechanism_of_action,structure_activity_notes,follow_up_priority,patent_potential,literature_precedent,assay_cost_usd,researcher,assay_notes
EXP-0006-PROC-2-EXT-1-ASSAY-2,EXP-0006-PROC-2-EXT-1,EXP-0006-PROC-2,EXP-0006,Salinispora tropica,2025-10-12,Proteasome Inhibition,Multiple Myeloma,HEK293 cells,96-well,0.073 - 788.3 μM,Standard Control,28.4,33.95,92.8,2.72,95.8,16.84,43.5,Good,0.701,True,Proteasome inhibition,Only the detail cultural.,High,False,Similar,756.29,John Lopez,Executive cup then week tax see about.
EXP-0006-PROC-2-EXT-1-ASSAY-3,EXP-0006-PROC-2-EXT-1,EXP-0006-PROC-2,EXP-0006,Salinispora tropica,2025-10-01,Proteasome Inhibition,Multiple Myeloma,HEK293 cells,384-well,0.504 - 470.1 μM,Standard Control,71.8,1.41,70.8,2.54,77.9,52.44,39.6,Excellent,0.877,True,Proteasome inhibition,Make particularly report although.,Medium,False,Known,605.06,Lisa Welch,Point machine prevent conference feel.
EXP-0006-PROC-2-EXT-1-ASSAY-4,EXP-0006-PROC-2-EXT-1,EXP-0006-PROC-2,EXP-0006,Salinispora tropica,2025-10-04,Proteasome Inhibition,Multiple Myeloma,HEK293 cells,384-well,0.893 - 887.5 μM,Standard Control,39.9,72.77,43.1,2.36,51.0,1231.53,32.7,Fair,0.826,True,Proteasome inhibition,Themselves property make picture our.,High,False,Known,890.17,Elizabeth Robinson,Information language easy interesting computer.
EXP-0006-PROC-2-EXT-1-ASSAY-5,EXP-0006-PROC-2-EXT-1,EXP-0006-PROC-2,EXP-0006,Salinispora tropica,2025-10-10,Proteasome Inhibition,Multiple Myeloma,HEK293 cells,96-well,0.270 - 594.7 μM,Standard Control,44.7,44.94,87.1,1.09,29.6,26.8,47.0,Excellent,0.906,True,Proteasome inhibition,Produce girl huge campaign think style.,High,False,Novel,1137.36,Lindsay Mcdaniel,Fact medical three.
EXP-0006-PROC-2-EXT-1-ASSAY-6,EXP-0006-PROC-2-EXT-1,EXP-0006-PROC-2,EXP-0006,Salinispora tropica,2025-10-10,Proteasome Inhibition,Multiple Myeloma,HEK293 cells,96-well,0.328 - 783.1 μM,Standard Control,60.8,126.73,46.2,2.59,16.1,26.59,5.1,Good,0.86,True,Proteasome inhibition,Article sign energy fish hot kind.,High,False,Similar,866.32,Thomas Adams,Fund stand final important occur.
EXP-0006-PROC-2-EXT-2-ASSAY-1,EXP-0006-PROC-2-EXT-2,EXP-0006-PROC-2,EXP-0006,Salinispora tropica,2025-10-01,Proteasome Inhibition,Multiple Myeloma,HEK293 cells,24-well,0.694 - 762.0 μM,Standard Control,61.7,4.46,80.6,1.69,99.4,547.19,36.7,Excellent,0.938,True,Proteasome inhibition,Movie single book why.,Medium,False,Novel,1301.96,Beverly Fernandez,Sort bed relate.
EXP-0006-PROC-2-EXT-2-ASSAY-2,EXP-0006-PROC-2-EXT-2,EXP-0006-PROC-2,EXP-0006,Salinispora tropica,2025-10-11,Proteasome Inhibition,Multiple Myeloma,HEK293 cells,24-well,0.524 - 510.0 μM,Standard Control,38.8,8.86,65.4,1.4,80.1,11.2,26.7,Fair,0.843,True,Proteasome inhibition,Short need pressure million gun cup.,Medium,False,Novel,1323.62,Joseph Heath,Face claim hear including need.
EXP-0006-PROC-2-EXT-2-ASSAY-3,EXP-0006-PROC-2-EXT-2,EXP-0006-PROC-2,EXP-0006,Salinispora tropica,2025-10-05,Proteasome Inhibition,Multiple Myeloma,HEK293 cells,384-well,0.488 - 361.9 μM,Standard Control,19.6,159.41,54.7,0.62,85.0,167.72,1.5,Excellent,0.934,True,Proteasome inhibition,Vote already after wait bill.,Medium,True,Novel,1053.14,John Moore,Agency place read almost seek.
EXP-0006-PROC-2-EXT-2-ASSAY-4,EXP-0006-PROC-2-EXT-2,EXP-0006-PROC-2,EXP-0006,Salinispora tropica,2025-10-13,Proteasome Inhibition,Multiple Myeloma,HEK293 cells,96-well,0.167 - 533.3 μM,Standard Control,43.3,3.57,87.8,1.58,45.8,299.89,26.1,Excellent,0.878,True,Proteasome inhibition,Pretty capital scientist establish be available.,High,True,Similar,628.2,Pamela Perry,Sea must try.
EXP-0006-PROC-2-EXT-2-ASSAY-5,EXP-0006-PROC-2-EXT-2,EXP-0006-PROC-2,EXP-0006,Salinispora tropica,2025-10-09,Proteasome Inhibition,Multiple Myeloma,HEK293 cells,96-well,0.621 - 548.8 μM,Standard Control,53.8,37.05,80.7,2.68,43.8,867.74,21.2,Good,0.891,True,Proteasome inhibition,Save society create paper.,Medium,False,Similar,999.06,Franklin Hunt,Few learn between.
EXP-0006-PROC-2-EXT-2-ASSAY-6,EXP-0006-PROC-2-EXT-2,EXP-0006-PROC-2,EXP-0006,Salinispora tropica,2025-10-10,Proteasome Inhibition,Multiple Myeloma,HEK293 cells,96-well,0.055 - 600.9 μM,Standard Control,31.9,5.57,73.8,1.7,11.4,36.69,31.0,Fair,0.884,True,Proteasome inhibition,Likely fact behavior whom night low traditional.,Medium,False,Known,1220.73,Dana Smith,Road week several research laugh official agent.
EXP-0006-PROC-2-EXT-3-ASSAY-1,EXP-0006-PROC-2-EXT-3,EXP-0006-PROC-2,EXP-0006,Salinispora tropica,2025-10-09,Proteasome Inhibition,Multiple Myeloma,HEK293 cells,24-well,0.436 - 407.9 μM,Standard Control,42.3,418.49,70.6,0.76,86.0,116.71,16.2,Good,0.943,False,Proteasome inhibition,Language live board financial century.,Low,True,Novel,441.43,Angela Hoffman,Ten majority economic center pattern.
EXP-0006-PROC-2-EXT-3-ASSAY-2,EXP-0006-PROC-2-EXT-3,EXP-0006-PROC-2,EXP-0006,Salinispora tropica,2025-09-23,Proteasome Inhibition,Multiple Myeloma,HEK293 cells,24-well,0.435 - 929.2 μM,Standard Control,43.3,158.03,57.8,1.39,90.7,97.74,45.1,Excellent,0.944,True,Proteasome inhibition,Model style set arrive management in scientist.,High,False,Known,1382.21,Amanda Barker,Image accept real sense some nation fine present.
EXP-0006-PROC-2-EXT-3-ASSAY-3,EXP-0006-PROC-2-EXT-3,EXP-0006-PROC-2,EXP-0006,Salinispora tropica,2025-09-22,Proteasome Inhibition,Multiple Myeloma,HEK293 cells,96-well,0.530 - 328.5 μM,Standard Control,7.3,23.29,48.4,2.44,63.0,63.12,21.0,Fair,0.764,True,Proteasome inhibition,Leave lot never science run TV.,Low,False,Similar,1331.67,Billy Martinez,Class security coach.
EXP-0007-PROC-1-EXT-1-ASSAY-1,EXP-0007-PROC-1-EXT-1,EXP-0007-PROC-1,EXP-0007,Bugula neritina,2024-10-19,PKC Activation Assay,Cancer/Alzheimer,MCF-7 cells,384-well,0.209 - 664.7 μM,Paclitaxel,65.8,1.42,78.9,2.68,75.1,28.39,43.6,Good,0.834,True,PKC modulation,Thank box those manager phone modern.,High,False,Novel,1202.25,Shane Barnes,Father itself family.
EXP-0007-PROC-1-EXT-1-ASSAY-2,EXP-0007-PROC-1-EXT-1,EXP-0007-PROC-1,EXP-0007,Bugula neritina,2024-10-08,PKC Activation Assay,Cancer/Alzheimer,HeLa cells,96-well,0.135 - 181.1 μM,Paclitaxel,27.0,105.03,94.2,2.91,65.7,5.69,42.1,Excellent,0.831,True,PKC modulation,Mission past he practice center.,Medium,False,Known,549.99,Christine Mendez,Mind economy leg view until result.
EXP-0007-PROC-1-EXT-1-ASSAY-3,EXP-0007-PROC-1-EXT-1,EXP-0007-PROC-1,EXP-0007,Bugula neritina,2024-10-13,PKC Activation Assay,Cancer/Alzheimer,HeLa cells,96-well,0.959 - 449.5 μM,Paclitaxel,54.9,3.76,74.3,2.74,48.0,209.28,47.3,Good,0.754,True,PKC modulation,Clearly resource listen fish.,High,False,Novel,388.99,John Holder,Find could really.
EXP-0007-PROC-1-EXT-2-ASSAY-1,EXP-0007-PROC-1-EXT-2,EXP-0007-PROC-1,EXP-0007,Bugula neritina,2024-09-27,PKC Activation Assay,Cancer/Alzheimer,A549 cells,384-well,0.845 - 573.5 μM,Doxorubicin,28.8,16.1,72.3,1.62,56.9,157.81,24.1,Fair,0.712,False,PKC modulation,Learn behind person organization at player third.,Medium,False,Known,1358.46,Adrian Lee,Star test once figure person.
EXP-0007-PROC-1-EXT-2-ASSAY-2,EXP-0007-PROC-1-EXT-2,EXP-0007-PROC-1,EXP-0007,Bugula neritina,2024-10-13,PKC Activation Assay,Cancer/Alzheimer,A549 cells,96-well,0.100 - 909.8 μM,Paclitaxel,17.1,6.69,40.8,2.43,87.6,25.4,31.1,Good,0.747,True,PKC modulation,Various night political dark or bill.,High,True,Similar,642.33,Christopher Elliott,Someone onto she form.
EXP-0007-PROC-1-EXT-2-ASSAY-3,EXP-0007-PROC-1-EXT-2,EXP-0007-PROC-1,EXP-0007,Bugula neritina,2024-10-08,PKC Activation Assay,Cancer/Alzheimer,HeLa cells,96-well,0.456 - 80.5 μM,Doxorubicin,57.9,102.4,44.1,2.89,20.1,13.58,44.3,Poor,0.902,True,PKC modulation,Painting whom say pattern training decide able discussion.,Medium,False,Novel,1461.43,Timothy Mendez,Close themselves follow time.
EXP-0007-PROC-1-EXT-2-ASSAY-4,EXP-0007-PROC-1-EXT-2,EXP-0007-PROC-1,EXP-0007,Bugula neritina,2024-10-10,PKC Activation Assay,Cancer/Alzheimer,MCF-7 cells,96-well,0.982 - 105.3 μM,Cisplatin,43.2,76.0,79.7,0.79,55.9,1501.78,15.1,Good,0.935,True,PKC modulation,Case southern international.,High,False,Novel,1214.49,Eric Wolf,Nice help history listen find.
EXP-0007-PROC-1-EXT-3-ASSAY-1,EXP-0007-PROC-1-EXT-3,EXP-0007-PROC-1,EXP-0007,Bugula neritina,2024-10-09,PKC Activation Assay,Cancer/Alzheimer,MCF-7 cells,24-well,0.679 - 238.8 μM,Paclitaxel,37.6,39.46,63.7,1.43,46.1,150.45,9.7,Excellent,0.859,True,PKC modulation,First back painting degree coach plant everyone.,High,True,Novel,736.98,Jeffrey Alexander,Rate newspaper itself give agent.
EXP-0007-PROC-1-EXT-3-ASSAY-2,EXP-0007-PROC-1-EXT-3,EXP-0007-PROC-1,EXP-0007,Bugula neritina,2024-10-17,PKC Activation Assay,Cancer/Alzheimer,HeLa cells,384-well,0.487 - 232.5 μM,Paclitaxel,15.7,52.26,53.7,1.82,45.7,22.97,29.4,Good,0.919,True,PKC modulation,Talk side generation interest pay then.,Medium,True,Similar,1341.3,Cheryl Brooks,Cultural guess crime.
EXP-0007-PROC-1-EXT-3-ASSAY-3,EXP-0007-PROC-1-EXT-3,EXP-0007-PROC-1,EXP-0007,Bugula neritina,2024-10-07,PKC Activation Assay,Cancer/Alzheimer,HeLa cells,96-well,0.155 - 650.1 μM,Paclitaxel,14.8,4.24,82.6,0.62,41.4,336.07,35.5,Excellent,0.757,True,PKC modulation,Financial behind hard effect TV parent almost ever.,Medium,False,Similar,1254.34,Andrew Dominguez,Ever arm occur air responsibility.
EXP-0007-PROC-1-EXT-3-ASSAY-4,EXP-0007-PROC-1-EXT-3,EXP-0007-PROC-1,EXP-0007,Bugula neritina,2024-10-20,PKC Activation Assay,Cancer/Alzheimer,HeLa cells,384-well,0.699 - 439.4 μM,Cisplatin,16.2,163.43,87.6,1.01,95.9,15.53,25.6,Good,0.929,True,PKC modulation,Young place make list themselves seek space.,Medium,False,Similar,1148.12,Allen Shannon,Relationship computer surface bar.
EXP-0007-PROC-1-EXT-3-ASSAY-5,EXP-0007-PROC-1-EXT-3,EXP-0007-PROC-1,EXP-0007,Bugula neritina,2024-10-24,PKC Activation Assay,Cancer/Alzheimer,HeLa cells,384-well,0.787 - 345.5 μM,Doxorubicin,59.4,14.67,60.5,1.52,35.5,41.83,38.4,Excellent,0.724,True,PKC modulation,Argue PM artist best.,High,False,Novel,721.46,Victoria Lee,Scene four public tonight today college worry reveal.
EXP-0007-PROC-2-EXT-1-ASSAY-1,EXP-0007-PROC-2-EXT-1,EXP-0007-PROC-2,EXP-0007,Bugula neritina,2024-09-28,PKC Activation Assay,Cancer/Alzheimer,A549 cells,384-well,0.373 - 778.6 μM,Cisplatin,43.7,252.82,47.1,2.58,70.9,158.36,29.3,Excellent,0.922,False,PKC modulation,Might wait idea study prove assume.,Low,True,Novel,1140.37,Kathryn Daniel,Common and part read.
EXP-0007-PROC-2-EXT-1-ASSAY-2,EXP-0007-PROC-2-EXT-1,EXP-0007-PROC-2,EXP-0007,Bugula neritina,2024-09-25,PKC Activation Assay,Cancer/Alzheimer,A549 cells,96-well,0.698 - 511.2 μM,Cisplatin,3.8,0.9,47.3,1.41,26.3,67.26,25.8,Good,0.942,True,PKC modulation,Common section study about event go.,High,False,Novel,989.94,Keith Horton,Us because truth consumer beat fish phone.
EXP-0007-PROC-2-EXT-1-ASSAY-3,EXP-0007-PROC-2-EXT-1,EXP-0007-PROC-2,EXP-0007,Bugula neritina,2024-10-03,PKC Activation Assay,Cancer/Alzheimer,MCF-7 cells,384-well,0.292 - 137.5 μM,Paclitaxel,61.9,128.51,96.3,0.63,50.6,74.64,19.4,Good,0.856,True,PKC modulation,Short small design.,Low,False,Known,1252.31,Brad Ramsey,Film race wall ten section.
EXP-0007-PROC-2-EXT-1-ASSAY-4,EXP-0007-PROC-2-EXT-1,EXP-0007-PROC-2,EXP-0007,Bugula neritina,2024-09-20,PKC Activation Assay,Cancer/Alzheimer,HeLa cells,96-well,0.950 - 346.1 μM,Paclitaxel,9.6,3.54,98.2,0.6,75.6,55.72,26.7,Good,0.792,True,PKC modulation,Financial here expert everything.,High,False,Similar,379.01,Jennifer Conley,Third computer far recently enough.
EXP-0007-PROC-2-EXT-1-ASSAY-5,EXP-0007-PROC-2-EXT-1,EXP-0007-PROC-2,EXP-0007,Bugula neritina,2024-09-29,PKC Activation Assay,Cancer/Alzheimer,A549 cells,384-well,0.544 - 109.2 μM,Cisplatin,67.3,4.96,63.2,2.0,51.9,39.88,35.0,Good,0.714,True,PKC modulation,Great hair sign mission stop reach color.,Low,False,Similar,641.45,Lauren Moore,Decision reduce get specific someone debate record.
EXP-0007-PROC-2-EXT-1-ASSAY-6,EXP-0007-PROC-2-EXT-1,EXP-0007-PROC-2,EXP-0007,Bugula neritina,2024-10-04,PKC Activation Assay,Cancer/Alzheimer,A549 cells,384-well,0.613 - 161.4 μM,Cisplatin,6.6,8.89,58.7,1.79,59.3,34.23,39.7,Excellent,0.864,False,PKC modulation,Necessary sea especially message decision design end.,High,False,Novel,1030.51,Kelly Welch,Cause only head help open almost red.
EXP-0007-PROC-2-EXT-2-ASSAY-1,EXP-0007-PROC-2-EXT-2,EXP-0007-PROC-2,EXP-0007,Bugula neritina,2024-10-01,PKC Activation Assay,Cancer/Alzheimer,HeLa cells,96-well,0.652 - 210.4 μM,Doxorubicin,64.3,19.61,76.6,1.19,72.0,12.59,30.2,Good,0.781,True,PKC modulation,Grow too city little from total cost group.,Low,True,Novel,330.45,Joshua Walton,Speak lead office itself human street.
EXP-0007-PROC-2-EXT-2-ASSAY-2,EXP-0007-PROC-2-EXT-2,EXP-0007-PROC-2,EXP-0007,Bugula neritina,2024-09-24,PKC Activation Assay,Cancer/Alzheimer,HeLa cells,384-well,0.864 - 377.8 μM,Paclitaxel,16.6,9.85,51.5,2.76,20.6,491.78,2.3,Excellent,0.705,False,PKC modulation,Rich over lot husband always.,Medium,False,Known,1046.78,Cynthia Donovan,Blue international especially officer or clearly coach.
EXP-0007-PROC-2-EXT-2-ASSAY-3,EXP-0007-PROC-2-EXT-2,EXP-0007-PROC-2,EXP-0007,Bugula neritina,2024-09-28,PKC Activation Assay,Cancer/Alzheimer,A549 cells,384-well,0.929 - 230.3 μM,Paclitaxel,72.0,55.62,53.4,0.7,87.6,21.67,43.1,Excellent,0.801,True,PKC modulation,Though whole wall cup win.,Medium,False,Novel,1142.88,Beverly Cook,Wife finally she.
EXP-0007-PROC-2-EXT-2-ASSAY-4,EXP-0007-PROC-2-EXT-2,EXP-0007-PROC-2,EXP-0007,Bugula neritina,2024-10-04,PKC Activation Assay,Cancer/Alzheimer,A549 cells,96-well,0.892 - 174.2 μM,Paclitaxel,12.5,796.38,51.7,1.48,94.7,210.15,13.1,Fair,0.867,True,PKC modulation,Learn close a challenge third feeling.,Medium,False,Novel,1188.18,David Harris,Right child new simply.
EXP-0007-PROC-2-EXT-3-ASSAY-1,EXP-0007-PROC-2-EXT-3,EXP-0007-PROC-2,EXP-0007,Bugula neritina,2024-09-16,PKC Activation Assay,Cancer/Alzheimer,HeLa cells,96-well,0.593 - 879.9 μM,Paclitaxel,27.0,2.82,42.3,0.61,87.1,19.49,34.2,Fair,0.865,True,PKC modulation,Local general likely.,Medium,False,Similar,1037.57,Melissa Durham,Story relationship several benefit campaign several.
EXP-0007-PROC-2-EXT-3-ASSAY-2,EXP-0007-PROC-2-EXT-3,EXP-0007-PROC-2,EXP-0007,Bugula neritina,2024-09-19,PKC Activation Assay,Cancer/Alzheimer,A549 cells,384-well,0.258 - 568.4 μM,Cisplatin,39.3,34.06,58.9,0.63,94.9,11.34,32.4,Good,0.919,False,PKC modulation,Hundred force executive push.,Medium,False,Similar,1111.27,Linda Ferguson,Major science only develop part should.
EXP-0007-PROC-3-EXT-1-ASSAY-1,EXP-0007-PROC-3-EXT-1,EXP-0007-PROC-3,EXP-0007,Bugula neritina,2024-09-20,PKC Activation Assay,Cancer/Alzheimer,MCF-7 cells,96-well,0.924 - 673.7 μM,Cisplatin,67.2,58.02,82.2,0.61,90.8,45.63,24.7,Good,0.815,True,PKC modulation,Gun may ability out huge back.,Low,True,Known,979.76,Jonathan Williams,Itself fund pressure international expect.
EXP-0007-PROC-3-EXT-1-ASSAY-2,EXP-0007-PROC-3-EXT-1,EXP-0007-PROC-3,EXP-0007,Bugula neritina,2024-09-23,PKC Activation Assay,Cancer/Alzheimer,HeLa cells,96-well,0.416 - 731.0 μM,Doxorubicin,57.9,26.57,55.3,2.81,77.8,129.15,29.1,Good,0.874,False,PKC modulation,Push lose end western conference huge.,High,True,Novel,1409.18,Ashley Drake,Rather big television sound activity five.
EXP-0007-PROC-3-EXT-1-ASSAY-3,EXP-0007-PROC-3-EXT-1,EXP-0007-PROC-3,EXP-0007,Bugula neritina,2024-09-29,PKC Activation Assay,Cancer/Alzheimer,HeLa cells,384-well,0.168 - 32.9 μM,Paclitaxel,11.3,184.09,99.3,1.37,60.3,127.73,46.9,Excellent,0.742,True,PKC modulation,Medical rather activity president prove institution approach.,High,False,Similar,1161.17,Patrick Wilson,Maybe sit Republican such will born condition.
EXP-0007-PROC-3-EXT-1-ASSAY-4,EXP-0007-PROC-3-EXT-1,EXP-0007-PROC-3,EXP-0007,Bugula neritina,2024-09-23,PKC Activation Assay,Cancer/Alzheimer,A549 cells,384-well,0.050 - 341.4 μM,Paclitaxel,37.7,0.64,94.7,1.42,5.5,78.25,15.7,Excellent,0.833,False,PKC modulation,Mother himself push character front various.,Low,True,Novel,789.87,Christina Hess,Itself let always test least anyone out.
EXP-0007-PROC-3-EXT-1-ASSAY-5,EXP-0007-PROC-3-EXT-1,EXP-0007-PROC-3,EXP-0007,Bugula neritina,2024-09-20,PKC Activation Assay,Cancer/Alzheimer,MCF-7 cells,96-well,0.618 - 721.3 μM,Doxorubicin,29.4,26.11,67.0,2.12,95.3,205.87,39.9,Excellent,0.71,False,PKC modulation,Education front fast standard myself condition.,Low,False,Novel,698.77,Alan Nguyen,Other ground already.
EXP-0007-PROC-4-EXT-1-ASSAY-1,EXP-0007-PROC-4-EXT-1,EXP-0007-PROC-4,EXP-0007,Bugula neritina,2024-10-05,PKC Activation Assay,Cancer/Alzheimer,MCF-7 cells,96-well,0.273 - 876.2 μM,Paclitaxel,55.7,296.56,46.2,2.47,53.7,16.63,15.3,Excellent,0.864,True,PKC modulation,Eat base behind risk plan issue.,Low,False,Known,1069.94,Wesley Barker,Try tough usually star notice.
EXP-0007-PROC-4-EXT-1-ASSAY-2,EXP-0007-PROC-4-EXT-1,EXP-0007-PROC-4,EXP-0007,Bugula neritina,2024-10-20,PKC Activation Assay,Cancer/Alzheimer,A549 cells,96-well,0.529 - 756.3 μM,Doxorubicin,32.8,4.15,62.3,2.09,2.8,146.26,36.4,Excellent,0.909,True,PKC modulation,Baby head chair.,Medium,False,Known,778.97,Margaret Macias,Mention rise front PM few husband.
EXP-0007-PROC-4-EXT-1-ASSAY-3,EXP-0007-PROC-4-EXT-1,EXP-0007-PROC-4,EXP-0007,Bugula neritina,2024-10-17,PKC Activation Assay,Cancer/Alzheimer,HeLa cells,96-well,0.564 - 170.6 μM,Cisplatin,23.7,36.51,99.2,2.42,94.3,141.58,11.6,Fair,0.893,False,PKC modulation,Wear either present third.,Medium,False,Similar,324.26,Jessica Wilson,Number yet past much soldier.
EXP-0007-PROC-4-EXT-1-ASSAY-4,EXP-0007-PROC-4-EXT-1,EXP-0007-PROC-4,EXP-0007,Bugula neritina,2024-10-03,PKC Activation Assay,Cancer/Alzheimer,A549 cells,384-well,0.610 - 374.2 μM,Paclitaxel,31.1,7.18,96.6,0.95,66.6,209.87,33.9,Good,0.763,True,PKC modulation,Hear list set.,Low,False,Novel,689.7,Paul Osborne,Maybe animal human consider expect.
EXP-0007-PROC-4-EXT-1-ASSAY-5,EXP-0007-PROC-4-EXT-1,EXP-0007-PROC-4,EXP-0007,Bugula neritina,2024-10-20,PKC Activation Assay,Cancer/Alzheimer,MCF-7 cells,384-well,0.486 - 95.1 μM,Cisplatin,61.0,29.5,81.6,2.85,55.9,62.9,30.4,Good,0.944,True,PKC modulation,Imagine affect increase.,Medium,True,Novel,1070.55,Derek George,Best different remember determine particularly rock.
EXP-0007-PROC-4-EXT-1-ASSAY-6,EXP-0007-PROC-4-EXT-1,EXP-0007-PROC-4,EXP-0007,Bugula neritina,2024-10-07,PKC Activation Assay,Cancer/Alzheimer,A549 cells,96-well,0.990 - 99.8 μM,Cisplatin,48.7,117.59,76.5,0.88,21.5,7.03,31.5,Good,0.732,False,PKC modulation,Step onto play forget home upon actually future.,Low,False,Similar,618.22,Jeremy Murray,Decision recently pull eight allow system whose.
EXP-0007-PROC-4-EXT-2-ASSAY-1,EXP-0007-PROC-4-EXT-2,EXP-0007-PROC-4,EXP-0007,Bugula neritina,2024-10-05,PKC Activation Assay,Cancer/Alzheimer,HeLa cells,384-well,0.607 - 757.8 μM,Paclitaxel,65.1,22.01,53.7,0.56,39.0,60.53,7.9,Excellent,0.878,True,PKC modulation,Main world bar security morning fight seem later.,Low,True,Novel,1093.36,Christopher Richards,Goal it yet age wind news make doctor.
EXP-0007-PROC-4-EXT-2-ASSAY-2,EXP-0007-PROC-4-EXT-2,EXP-0007-PROC-4,EXP-0007,Bugula neritina,2024-10-11,PKC Activation Assay,Cancer/Alzheimer,A549 cells,96-well,0.442 - 75.0 μM,Paclitaxel,30.1,30.44,64.8,1.56,70.6,66.61,47.2,Fair,0.767,True,PKC modulation,Capital parent sure best design yeah number.,Medium,False,Similar,828.17,Christopher Waters,Nearly goal design too everything side.
EXP-0007-PROC-4-EXT-2-ASSAY-3,EXP-0007-PROC-4-EXT-2,EXP-0007-PROC-4,EXP-0007,Bugula neritina,2024-10-14,PKC Activation Assay,Cancer/Alzheimer,A549 cells,384-well,0.530 - 877.4 μM,Cisplatin,34.4,3.12,92.5,0.93,43.2,17.37,10.2,Good,0.893,True,PKC modulation,Black those whether seven fish movie hot teacher.,Medium,True,Similar,869.25,John Mckenzie MD,Hundred about stop several.
EXP-0008-PROC-1-EXT-1-ASSAY-1,EXP-0008-PROC-1-EXT-1,EXP-0008-PROC-1,EXP-0008,Bothrops jararaca,2023-07-22,ACE Inhibition Assay,Hypertension,HEK293 cells,96-well,0.902 - 335.2 μM,Standard Control,68.7,17.52,93.7,1.19,28.0,36.78,15.8,Excellent,0.853,False,ACE inhibition,Raise better oil individual.,Medium,False,Known,826.0,Colin Johnson,Catch people your outside rule.
EXP-0008-PROC-1-EXT-1-ASSAY-2,EXP-0008-PROC-1-EXT-1,EXP-0008-PROC-1,EXP-0008,Bothrops jararaca,2023-07-26,ACE Inhibition Assay,Hypertension,HEK293 cells,384-well,0.151 - 99.1 μM,Standard Control,41.4,2.37,76.3,2.54,76.4,12.6,13.9,Fair,0.761,True,ACE inhibition,Foot economic notice.,High,False,Novel,1458.95,Brandon Wood,Third pressure need tell sure claim hard themselves.
EXP-0008-PROC-1-EXT-1-ASSAY-3,EXP-0008-PROC-1-EXT-1,EXP-0008-PROC-1,EXP-0008,Bothrops jararaca,2023-07-24,ACE Inhibition Assay,Hypertension,HEK293 cells,96-well,0.707 - 591.8 μM,Standard Control,24.3,582.09,42.5,0.53,46.3,98.41,7.5,Fair,0.866,True,ACE inhibition,Line require current car.,Low,False,Similar,556.86,Andre Lane,Each owner wrong someone win matter book.
EXP-0008-PROC-1-EXT-2-ASSAY-1,EXP-0008-PROC-1-EXT-2,EXP-0008-PROC-1,EXP-0008,Bothrops jararaca,2023-08-04,ACE Inhibition Assay,Hypertension,HEK293 cells,96-well,0.954 - 150.9 μM,Standard Control,51.6,0.04,97.1,2.86,78.2,179.58,30.5,Excellent,0.814,True,ACE inhibition,Study the training each reveal attorney security radio.,High,True,Novel,727.41,Joseph Harrison,Audience indicate employee respond building since.
EXP-0008-PROC-1-EXT-2-ASSAY-2,EXP-0008-PROC-1-EXT-2,EXP-0008-PROC-1,EXP-0008,Bothrops jararaca,2023-07-25,ACE Inhibition Assay,Hypertension,HEK293 cells,24-well,0.314 - 448.2 μM,Standard Control,10.0,13.49,93.2,2.32,17.3,72.04,28.7,Good,0.778,True,ACE inhibition,Resource just still art speech stock rise.,High,True,Known,513.88,James Ho,Power investment buy certainly energy stay send born.
EXP-0008-PROC-1-EXT-2-ASSAY-3,EXP-0008-PROC-1-EXT-2,EXP-0008-PROC-1,EXP-0008,Bothrops jararaca,2023-07-25,ACE Inhibition Assay,Hypertension,HEK293 cells,384-well,0.364 - 952.1 μM,Standard Control,68.2,11.63,91.8,1.48,1.4,34.79,14.4,Good,0.849,True,ACE inhibition,Hand prevent center during.,High,False,Known,1259.12,Mr. Gary Benson,Tonight man each employee far know skin.
EXP-0008-PROC-1-EXT-2-ASSAY-4,EXP-0008-PROC-1-EXT-2,EXP-0008-PROC-1,EXP-0008,Bothrops jararaca,2023-08-03,ACE Inhibition Assay,Hypertension,HEK293 cells,96-well,0.429 - 760.9 μM,Standard Control,28.0,103.02,65.2,2.95,35.6,13.87,46.2,Excellent,0.933,False,ACE inhibition,Nothing organization seven challenge eye.,Low,False,Similar,590.22,Jacob Cox,Fill respond nothing fight require.
EXP-0008-PROC-1-EXT-3-ASSAY-1,EXP-0008-PROC-1-EXT-3,EXP-0008-PROC-1,EXP-0008,Bothrops jararaca,2023-08-04,ACE Inhibition Assay,Hypertension,HEK293 cells,384-well,0.229 - 207.4 μM,Standard Control,31.8,64.83,81.3,1.21,48.7,462.7,3.2,Good,0.904,False,ACE inhibition,Child source campaign parent teacher.,Medium,False,Similar,1487.87,Darren Rosales,Field once else return seat you image peace.
EXP-0008-PROC-1-EXT-3-ASSAY-2,EXP-0008-PROC-1-EXT-3,EXP-0008-PROC-1,EXP-0008,Bothrops jararaca,2023-07-28,ACE Inhibition Assay,Hypertension,HEK293 cells,96-well,0.255 - 766.0 μM,Standard Control,50.2,54.46,48.8,1.63,88.2,2.96,21.6,Excellent,0.91,True,ACE inhibition,Win popular onto may.,Medium,False,Similar,1008.3,Jamie Howe,That lot low here.
